,Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
31196,17/01/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin and South East
31197,17/01/2025,St. Vincent's University Hospital,22.0,6.0,28.0,41.0,20,2.0,1,HSE Dublin and South East
31198,17/01/2025,Tipperary University Hospital,3.0,6.0,9.0,9.0,9,2.0,,HSE Dublin and South East
31199,17/01/2025,UH Waterford,0.0,0.0,0.0,10.0,23,,,HSE Dublin and South East
31200,17/01/2025,Wexford General Hospital,0.0,2.0,2.0,18.0,6,,,HSE Dublin and South East
31202,17/01/2025,Bantry General Hospital,,,,,3,,,HSE South West
31203,17/01/2025,Cork University Hospital,24.0,12.0,36.0,27.0,44,6.0,,HSE South West
31204,17/01/2025,Mallow General Hospital,,,,,1,,,HSE South West
31205,17/01/2025,Mercy University Hospital,20.0,8.0,28.0,11.0,21,13.0,3,HSE South West
31206,17/01/2025,South Infirmary Victoria University Hospital,,,,,1,,,HSE South West
31207,17/01/2025,UH Kerry,13.0,4.0,17.0,14.0,21,4.0,,HSE South West
31209,17/01/2025,Ennis Hospital,,,,,2,,,HSE Mid West
31210,17/01/2025,Nenagh Hospital,,,,,3,,,HSE Mid West
31211,17/01/2025,St. John's Hospital Limerick,,,,,8,,,HSE Mid West
31212,17/01/2025,UH Limerick,22.0,40.0,62.0,58.0,5,13.0,,HSE Mid West
31214,17/01/2025,Galway University Hospital,21.0,10.0,31.0,36.0,42,7.0,1,HSE West and North West
31215,17/01/2025,Letterkenny University Hospital,5.0,2.0,7.0,1.0,17,,,HSE West and North West
31216,17/01/2025,Mayo University Hospital,6.0,15.0,21.0,15.0,12,8.0,,HSE West and North West
31217,17/01/2025,Portiuncula University Hospital,0.0,0.0,0.0,15.0,3,,,HSE West and North West
31218,17/01/2025,Roscommon University Hospital,,,,,3,,,HSE West and North West
31219,17/01/2025,Sligo University Hospital,6.0,17.0,23.0,12.0,31,10.0,,HSE West and North West
31222,18/01/2025,Beaumont Hospital,0.0,0.0,0.0,0.0,13,,,HSE Dublin and North East
31223,18/01/2025,Cavan General Hospital,1.0,0.0,1.0,16.0,2,,,HSE Dublin and North East
31224,18/01/2025,Connolly Hospital,0.0,0.0,0.0,0.0,5,,,HSE Dublin and North East
31225,18/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin and North East
31226,18/01/2025,Mater Misericordiae University Hospital,5.0,0.0,5.0,31.0,16,,,HSE Dublin and North East
31227,18/01/2025,National Orthopaedic Hospital Cappagh,,,,,2,,,HSE Dublin and North East
31228,18/01/2025,Our Lady of Lourdes Hospital,14.0,0.0,14.0,39.0,8,,,HSE Dublin and North East
31229,18/01/2025,Our Lady's Hospital Navan,0.0,0.0,0.0,6.0,1,,,HSE Dublin and North East
31231,18/01/2025,CHI at Crumlin,1.0,,1.0,,3,,,HSE Dublin and Midlands
31232,18/01/2025,CHI at Tallaght,0.0,0.0,0.0,,0,,,HSE Dublin and Midlands
31233,18/01/2025,CHI at Temple Street,5.0,0.0,5.0,0.0,1,,,HSE Dublin and Midlands
31234,18/01/2025,MRH Mullingar,1.0,0.0,1.0,29.0,1,,,HSE Dublin and Midlands
31235,18/01/2025,MRH Portlaoise,0.0,0.0,0.0,0.0,7,,,HSE Dublin and Midlands
31236,18/01/2025,MRH Tullamore,0.0,0.0,0.0,10.0,6,,,HSE Dublin and Midlands
31237,18/01/2025,Naas General Hospital,2.0,0.0,2.0,3.0,10,,,HSE Dublin and Midlands
31238,18/01/2025,St. James's Hospital,2.0,0.0,2.0,11.0,19,,,HSE Dublin and Midlands
31239,18/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin and Midlands
31240,18/01/2025,Tallaght University Hospital,14.0,0.0,14.0,19.0,13,2.0,,HSE Dublin and Midlands
31242,18/01/2025,National Rehabilitation Hospital,,,,,12,,,HSE Dublin and South East
31243,18/01/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin and South East
31244,18/01/2025,St Luke's General Hospital Kilkenny,4.0,0.0,4.0,30.0,6,,,HSE Dublin and South East
31245,18/01/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin and South East
31246,18/01/2025,St. Vincent's University Hospital,9.0,0.0,9.0,39.0,20,1.0,1,HSE Dublin and South East
31247,18/01/2025,Tipperary University Hospital,4.0,8.0,12.0,4.0,8,7.0,,HSE Dublin and South East
31248,18/01/2025,UH Waterford,0.0,0.0,0.0,0.0,28,,,HSE Dublin and South East
31249,18/01/2025,Wexford General Hospital,1.0,0.0,1.0,9.0,6,,,HSE Dublin and South East
31251,18/01/2025,Bantry General Hospital,,,,,3,,,HSE South West
31252,18/01/2025,Cork University Hospital,13.0,3.0,16.0,23.0,39,,,HSE South West
31253,18/01/2025,Mallow General Hospital,,,,,1,,,HSE South West
31254,18/01/2025,Mercy University Hospital,3.0,0.0,3.0,14.0,20,,,HSE South West
31255,18/01/2025,South Infirmary Victoria University Hospital,,,,,2,,,HSE South West
31256,18/01/2025,UH Kerry,0.0,0.0,0.0,12.0,20,,,HSE South West
31258,18/01/2025,Ennis Hospital,,,,,2,,,HSE Mid West
31259,18/01/2025,Nenagh Hospital,,,,,3,,,HSE Mid West
31260,18/01/2025,St. John's Hospital Limerick,,,,,8,,,HSE Mid West
31261,18/01/2025,UH Limerick,10.0,24.0,34.0,34.0,5,9.0,,HSE Mid West
31263,18/01/2025,Galway University Hospital,18.0,12.0,30.0,22.0,40,10.0,,HSE West and North West
31264,18/01/2025,Letterkenny University Hospital,0.0,0.0,0.0,0.0,16,,,HSE West and North West
31265,18/01/2025,Mayo University Hospital,12.0,17.0,29.0,18.0,14,13.0,2,HSE West and North West
31266,18/01/2025,Portiuncula University Hospital,1.0,0.0,1.0,0.0,4,,,HSE West and North West
31267,18/01/2025,Roscommon University Hospital,,,,,3,,,HSE West and North West
31268,18/01/2025,Sligo University Hospital,2.0,7.0,9.0,13.0,25,5.0,,HSE West and North West
31271,19/01/2025,Beaumont Hospital,0.0,0.0,0.0,0.0,13,,,HSE Dublin and North East
31272,19/01/2025,Cavan General Hospital,6.0,0.0,6.0,18.0,2,,,HSE Dublin and North East
31273,19/01/2025,Connolly Hospital,0.0,0.0,0.0,0.0,5,,,HSE Dublin and North East
31274,19/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin and North East
31275,19/01/2025,Mater Misericordiae University Hospital,10.0,0.0,10.0,31.0,16,,,HSE Dublin and North East
31276,19/01/2025,National Orthopaedic Hospital Cappagh,,,,,2,,,HSE Dublin and North East
31277,19/01/2025,Our Lady of Lourdes Hospital,21.0,0.0,21.0,48.0,8,,,HSE Dublin and North East
31278,19/01/2025,Our Lady's Hospital Navan,0.0,0.0,0.0,0.0,1,,,HSE Dublin and North East
31280,19/01/2025,CHI at Crumlin,1.0,,1.0,,3,,,HSE Dublin and Midlands
31281,19/01/2025,CHI at Tallaght,1.0,,1.0,,0,,,HSE Dublin and Midlands
31282,19/01/2025,CHI at Temple Street,0.0,0.0,0.0,,1,,,HSE Dublin and Midlands
31283,19/01/2025,MRH Mullingar,6.0,0.0,6.0,30.0,1,,,HSE Dublin and Midlands
31284,19/01/2025,MRH Portlaoise,0.0,0.0,0.0,0.0,7,,,HSE Dublin and Midlands
31285,19/01/2025,MRH Tullamore,0.0,0.0,0.0,14.0,6,,,HSE Dublin and Midlands
31286,19/01/2025,Naas General Hospital,1.0,6.0,7.0,8.0,10,,,HSE Dublin and Midlands
31287,19/01/2025,St. James's Hospital,6.0,0.0,6.0,11.0,19,,,HSE Dublin and Midlands
31288,19/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin and Midlands
31289,19/01/2025,Tallaght University Hospital,20.0,9.0,29.0,20.0,13,5.0,1,HSE Dublin and Midlands
31291,19/01/2025,National Rehabilitation Hospital,,,,,12,,,HSE Dublin and South East
31292,19/01/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin and South East
31293,19/01/2025,St Luke's General Hospital Kilkenny,4.0,0.0,4.0,24.0,6,,,HSE Dublin and South East
31294,19/01/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin and South East
31295,19/01/2025,St. Vincent's University Hospital,16.0,4.0,20.0,39.0,20,1.0,,HSE Dublin and South East
31296,19/01/2025,Tipperary University Hospital,6.0,9.0,15.0,13.0,8,11.0,,HSE Dublin and South East
31297,19/01/2025,UH Waterford,0.0,0.0,0.0,0.0,28,,,HSE Dublin and South East
31298,19/01/2025,Wexford General Hospital,0.0,1.0,1.0,16.0,6,,,HSE Dublin and South East
31300,19/01/2025,Bantry General Hospital,,,,,3,,,HSE South West
31301,19/01/2025,Cork University Hospital,12.0,6.0,18.0,23.0,39,,,HSE South West
31302,19/01/2025,Mallow General Hospital,,,,,1,,,HSE South West
31303,19/01/2025,Mercy University Hospital,2.0,2.0,4.0,15.0,20,,,HSE South West
31304,19/01/2025,South Infirmary Victoria University Hospital,,,,,2,,,HSE South West
31305,19/01/2025,UH Kerry,4.0,0.0,4.0,13.0,20,,,HSE South West
31307,19/01/2025,Ennis Hospital,,,,,2,,,HSE Mid West
31308,19/01/2025,Nenagh Hospital,,,,,3,,,HSE Mid West
31309,19/01/2025,St. John's Hospital Limerick,,,,,8,,,HSE Mid West
31310,19/01/2025,UH Limerick,15.0,30.0,45.0,34.0,5,14.0,,HSE Mid West
31312,19/01/2025,Galway University Hospital,19.0,15.0,34.0,25.0,40,18.0,3,HSE West and North West
31313,19/01/2025,Letterkenny University Hospital,0.0,4.0,4.0,1.0,16,,,HSE West and North West
31314,19/01/2025,Mayo University Hospital,19.0,17.0,36.0,24.0,14,23.0,1,HSE West and North West
31315,19/01/2025,Portiuncula University Hospital,6.0,0.0,6.0,0.0,4,,,HSE West and North West
31316,19/01/2025,Roscommon University Hospital,,,,,3,,,HSE West and North West
31317,19/01/2025,Sligo University Hospital,4.0,4.0,8.0,13.0,25,3.0,,HSE West and North West
31320,20/01/2025,Beaumont Hospital,7.0,0.0,7.0,8.0,13,,,HSE Dublin and North East
31321,20/01/2025,Cavan General Hospital,10.0,0.0,10.0,12.0,2,,,HSE Dublin and North East
31322,20/01/2025,Connolly Hospital,3.0,0.0,3.0,0.0,5,,,HSE Dublin and North East
31323,20/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin and North East
31324,20/01/2025,Mater Misericordiae University Hospital,13.0,0.0,13.0,38.0,16,1.0,,HSE Dublin and North East
31325,20/01/2025,National Orthopaedic Hospital Cappagh,,,,,2,,,HSE Dublin and North East
31326,20/01/2025,Our Lady of Lourdes Hospital,27.0,0.0,27.0,54.0,8,,,HSE Dublin and North East
31327,20/01/2025,Our Lady's Hospital Navan,3.0,0.0,3.0,4.0,1,,,HSE Dublin and North East
31329,20/01/2025,CHI at Crumlin,0.0,0.0,0.0,0.0,3,,,HSE Dublin and Midlands
31330,20/01/2025,CHI at Tallaght,1.0,0.0,1.0,0.0,0,,,HSE Dublin and Midlands
31331,20/01/2025,CHI at Temple Street,2.0,0.0,2.0,0.0,1,,,HSE Dublin and Midlands
31332,20/01/2025,MRH Mullingar,0.0,0.0,0.0,35.0,1,,,HSE Dublin and Midlands
31333,20/01/2025,MRH Portlaoise,2.0,0.0,2.0,0.0,7,,,HSE Dublin and Midlands
31334,20/01/2025,MRH Tullamore,0.0,0.0,0.0,21.0,6,,,HSE Dublin and Midlands
31335,20/01/2025,Naas General Hospital,15.0,2.0,17.0,22.0,10,1.0,,HSE Dublin and Midlands
31336,20/01/2025,St. James's Hospital,20.0,0.0,20.0,11.0,19,,,HSE Dublin and Midlands
31337,20/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin and Midlands
31338,20/01/2025,Tallaght University Hospital,26.0,4.0,30.0,31.0,13,15.0,,HSE Dublin and Midlands
31340,20/01/2025,National Rehabilitation Hospital,,,,,12,,,HSE Dublin and South East
31341,20/01/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin and South East
31342,20/01/2025,St Luke's General Hospital Kilkenny,10.0,7.0,17.0,30.0,6,2.0,,HSE Dublin and South East
31343,20/01/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin and South East
31344,20/01/2025,St. Vincent's University Hospital,29.0,15.0,44.0,38.0,20,6.0,2,HSE Dublin and South East
31345,20/01/2025,Tipperary University Hospital,7.0,8.0,15.0,21.0,8,6.0,,HSE Dublin and South East
31346,20/01/2025,UH Waterford,0.0,0.0,0.0,7.0,28,,,HSE Dublin and South East
31347,20/01/2025,Wexford General Hospital,4.0,4.0,8.0,19.0,6,,,HSE Dublin and South East
31349,20/01/2025,Bantry General Hospital,,,,,3,,,HSE South West
31350,20/01/2025,Cork University Hospital,26.0,10.0,36.0,27.0,39,8.0,,HSE South West
31351,20/01/2025,Mallow General Hospital,,,,,1,,,HSE South West
31352,20/01/2025,Mercy University Hospital,7.0,3.0,10.0,15.0,20,1.0,,HSE South West
31353,20/01/2025,South Infirmary Victoria University Hospital,,,,,2,,,HSE South West
31354,20/01/2025,UH Kerry,8.0,0.0,8.0,13.0,20,,,HSE South West
31356,20/01/2025,Ennis Hospital,,,,,2,,,HSE Mid West
31357,20/01/2025,Nenagh Hospital,,,,,3,,,HSE Mid West
31358,20/01/2025,St. John's Hospital Limerick,,,,,8,,,HSE Mid West
31359,20/01/2025,UH Limerick,28.0,42.0,70.0,52.0,5,32.0,,HSE Mid West
31361,20/01/2025,Galway University Hospital,27.0,18.0,45.0,22.0,40,21.0,2,HSE West and North West
31362,20/01/2025,Letterkenny University Hospital,4.0,5.0,9.0,5.0,16,4.0,,HSE West and North West
31363,20/01/2025,Mayo University Hospital,21.0,17.0,38.0,24.0,14,25.0,,HSE West and North West
31364,20/01/2025,Portiuncula University Hospital,6.0,0.0,6.0,7.0,4,,,HSE West and North West
31365,20/01/2025,Roscommon University Hospital,,,,,3,,,HSE West and North West
31366,20/01/2025,Sligo University Hospital,4.0,10.0,14.0,17.0,25,4.0,,HSE West and North West
31369,21/01/2025,Beaumont Hospital,16.0,0.0,16.0,8.0,17,,,HSE Dublin and North East
31370,21/01/2025,Cavan General Hospital,16.0,0.0,16.0,9.0,2,2.0,1,HSE Dublin and North East
31371,21/01/2025,Connolly Hospital,0.0,0.0,0.0,0.0,5,,,HSE Dublin and North East
31372,21/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin and North East
31373,21/01/2025,Mater Misericordiae University Hospital,32.0,0.0,32.0,35.0,17,,,HSE Dublin and North East
31374,21/01/2025,National Orthopaedic Hospital Cappagh,,,,,2,,,HSE Dublin and North East
31375,21/01/2025,Our Lady of Lourdes Hospital,23.0,0.0,23.0,52.0,7,,,HSE Dublin and North East
31376,21/01/2025,Our Lady's Hospital Navan,0.0,0.0,0.0,6.0,1,,,HSE Dublin and North East
31378,21/01/2025,CHI at Crumlin,2.0,0.0,2.0,0.0,3,,,HSE Dublin and Midlands
31379,21/01/2025,CHI at Tallaght,0.0,0.0,0.0,0.0,0,,,HSE Dublin and Midlands
31380,21/01/2025,CHI at Temple Street,5.0,0.0,5.0,0.0,1,,,HSE Dublin and Midlands
31381,21/01/2025,MRH Mullingar,2.0,0.0,2.0,34.0,1,,,HSE Dublin and Midlands
31382,21/01/2025,MRH Portlaoise,3.0,0.0,3.0,7.0,9,,,HSE Dublin and Midlands
31383,21/01/2025,MRH Tullamore,0.0,0.0,0.0,22.0,5,,,HSE Dublin and Midlands
31384,21/01/2025,Naas General Hospital,5.0,0.0,5.0,14.0,10,,,HSE Dublin and Midlands
31385,21/01/2025,St. James's Hospital,15.0,0.0,15.0,11.0,18,,,HSE Dublin and Midlands
31386,21/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin and Midlands
31387,21/01/2025,Tallaght University Hospital,28.0,17.0,45.0,34.0,11,15.0,,HSE Dublin and Midlands
31389,21/01/2025,National Rehabilitation Hospital,,,,,11,,,HSE Dublin and South East
31390,21/01/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin and South East
31391,21/01/2025,St Luke's General Hospital Kilkenny,18.0,8.0,26.0,32.0,5,5.0,,HSE Dublin and South East
31392,21/01/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin and South East
31393,21/01/2025,St. Vincent's University Hospital,30.0,22.0,52.0,62.0,17,7.0,4,HSE Dublin and South East
31394,21/01/2025,Tipperary University Hospital,5.0,9.0,14.0,24.0,7,7.0,,HSE Dublin and South East
31395,21/01/2025,UH Waterford,0.0,0.0,0.0,3.0,22,,,HSE Dublin and South East
31396,21/01/2025,Wexford General Hospital,2.0,1.0,3.0,18.0,7,,,HSE Dublin and South East
31398,21/01/2025,Bantry General Hospital,,,,,2,,,HSE South West
31399,21/01/2025,Cork University Hospital,41.0,11.0,52.0,28.0,39,7.0,,HSE South West
31400,21/01/2025,Mallow General Hospital,,,,,1,,,HSE South West
31401,21/01/2025,Mercy University Hospital,20.0,5.0,25.0,11.0,19,3.0,1,HSE South West
31402,21/01/2025,South Infirmary Victoria University Hospital,,,,,2,,,HSE South West
31403,21/01/2025,UH Kerry,14.0,0.0,14.0,14.0,20,1.0,,HSE South West
31405,21/01/2025,Ennis Hospital,,,,,2,,,HSE Mid West
31406,21/01/2025,Nenagh Hospital,,,,,3,,,HSE Mid West
31407,21/01/2025,St. John's Hospital Limerick,,,,,7,,,HSE Mid West
31408,21/01/2025,UH Limerick,15.0,41.0,56.0,49.0,5,13.0,,HSE Mid West
31410,21/01/2025,Galway University Hospital,27.0,13.0,40.0,36.0,43,10.0,1,HSE West and North West
31411,21/01/2025,Letterkenny University Hospital,4.0,6.0,10.0,8.0,17,2.0,,HSE West and North West
31412,21/01/2025,Mayo University Hospital,6.0,17.0,23.0,21.0,19,12.0,,HSE West and North West
31413,21/01/2025,Portiuncula University Hospital,11.0,0.0,11.0,7.0,4,,,HSE West and North West
31414,21/01/2025,Roscommon University Hospital,,,,,3,,,HSE West and North West
31415,21/01/2025,Sligo University Hospital,3.0,9.0,12.0,12.0,28,5.0,,HSE West and North West
31418,22/01/2025,Beaumont Hospital,12.0,0.0,12.0,13.0,20,,,HSE Dublin and North East
31419,22/01/2025,Cavan General Hospital,10.0,0.0,10.0,5.0,2,,,HSE Dublin and North East
31420,22/01/2025,Connolly Hospital,0.0,0.0,0.0,0.0,5,,,HSE Dublin and North East
31421,22/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin and North East
31422,22/01/2025,Mater Misericordiae University Hospital,10.0,0.0,10.0,35.0,17,,,HSE Dublin and North East
31423,22/01/2025,National Orthopaedic Hospital Cappagh,,,,,2,,,HSE Dublin and North East
31424,22/01/2025,Our Lady of Lourdes Hospital,29.0,0.0,29.0,59.0,7,,,HSE Dublin and North East
31425,22/01/2025,Our Lady's Hospital Navan,0.0,0.0,0.0,7.0,1,,,HSE Dublin and North East
31427,22/01/2025,CHI at Crumlin,1.0,,1.0,,3,,,HSE Dublin and Midlands
31428,22/01/2025,CHI at Tallaght,0.0,0.0,0.0,,0,,,HSE Dublin and Midlands
31429,22/01/2025,CHI at Temple Street,2.0,,2.0,0.0,1,,,HSE Dublin and Midlands
31430,22/01/2025,MRH Mullingar,4.0,2.0,6.0,30.0,1,,,HSE Dublin and Midlands
31431,22/01/2025,MRH Portlaoise,2.0,0.0,2.0,14.0,9,,,HSE Dublin and Midlands
31432,22/01/2025,MRH Tullamore,0.0,0.0,0.0,21.0,6,,,HSE Dublin and Midlands
31433,22/01/2025,Naas General Hospital,4.0,0.0,4.0,17.0,11,,,HSE Dublin and Midlands
31434,22/01/2025,St. James's Hospital,27.0,0.0,27.0,18.0,18,1.0,,HSE Dublin and Midlands
31435,22/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin and Midlands
31436,22/01/2025,Tallaght University Hospital,29.0,9.0,38.0,31.0,10,13.0,,HSE Dublin and Midlands
31438,22/01/2025,National Rehabilitation Hospital,,,,,10,,,HSE Dublin and South East
31439,22/01/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin and South East
31440,22/01/2025,St Luke's General Hospital Kilkenny,7.0,0.0,7.0,43.0,5,,,HSE Dublin and South East
31441,22/01/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin and South East
31442,22/01/2025,St. Vincent's University Hospital,30.0,23.0,53.0,40.0,16,10.0,2,HSE Dublin and South East
31443,22/01/2025,Tipperary University Hospital,6.0,9.0,15.0,19.0,9,9.0,,HSE Dublin and South East
31444,22/01/2025,UH Waterford,0.0,0.0,0.0,16.0,21,,,HSE Dublin and South East
31445,22/01/2025,Wexford General Hospital,0.0,0.0,0.0,15.0,7,,,HSE Dublin and South East
31447,22/01/2025,Bantry General Hospital,,,,,4,,,HSE South West
31448,22/01/2025,Cork University Hospital,37.0,12.0,49.0,31.0,43,5.0,,HSE South West
31449,22/01/2025,Mallow General Hospital,,,,,1,,,HSE South West
31450,22/01/2025,Mercy University Hospital,15.0,5.0,20.0,15.0,22,6.0,,HSE South West
31451,22/01/2025,South Infirmary Victoria University Hospital,,,,,3,,,HSE South West
31452,22/01/2025,UH Kerry,12.0,6.0,18.0,14.0,17,2.0,,HSE South West
31454,22/01/2025,Ennis Hospital,,,,,2,,,HSE Mid West
31455,22/01/2025,Nenagh Hospital,,,,,3,,,HSE Mid West
31456,22/01/2025,St. John's Hospital Limerick,,,,,5,,,HSE Mid West
31457,22/01/2025,UH Limerick,16.0,38.0,54.0,48.0,5,12.0,,HSE Mid West
31459,22/01/2025,Galway University Hospital,32.0,16.0,48.0,37.0,46,16.0,1,HSE West and North West
31460,22/01/2025,Letterkenny University Hospital,7.0,8.0,15.0,7.0,19,3.0,,HSE West and North West
31461,22/01/2025,Mayo University Hospital,11.0,17.0,28.0,18.0,17,14.0,,HSE West and North West
31462,22/01/2025,Portiuncula University Hospital,5.0,0.0,5.0,8.0,3,,,HSE West and North West
31463,22/01/2025,Roscommon University Hospital,,,,,3,,,HSE West and North West
31464,22/01/2025,Sligo University Hospital,7.0,7.0,14.0,11.0,31,2.0,,HSE West and North West
31467,23/01/2025,Beaumont Hospital,24.0,0.0,24.0,11.0,21,,,HSE Dublin and North East
31468,23/01/2025,Cavan General Hospital,10.0,,10.0,4.0,2,,,HSE Dublin and North East
31469,23/01/2025,Connolly Hospital,0.0,0.0,0.0,8.0,5,,,HSE Dublin and North East
31470,23/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin and North East
31471,23/01/2025,Mater Misericordiae University Hospital,28.0,0.0,28.0,36.0,17,,,HSE Dublin and North East
31472,23/01/2025,National Orthopaedic Hospital Cappagh,,,,,0,,,HSE Dublin and North East
31473,23/01/2025,Our Lady of Lourdes Hospital,29.0,0.0,29.0,55.0,10,,,HSE Dublin and North East
31474,23/01/2025,Our Lady's Hospital Navan,0.0,0.0,0.0,4.0,0,,,HSE Dublin and North East
31476,23/01/2025,CHI at Crumlin,3.0,,3.0,0.0,3,,,HSE Dublin and Midlands
31477,23/01/2025,CHI at Tallaght,0.0,0.0,0.0,,0,,,HSE Dublin and Midlands
31478,23/01/2025,CHI at Temple Street,0.0,,0.0,,1,,,HSE Dublin and Midlands
31479,23/01/2025,MRH Mullingar,2.0,0.0,2.0,26.0,1,,,HSE Dublin and Midlands
31480,23/01/2025,MRH Portlaoise,5.0,0.0,5.0,16.0,9,,,HSE Dublin and Midlands
31481,23/01/2025,MRH Tullamore,0.0,0.0,0.0,5.0,7,,,HSE Dublin and Midlands
31482,23/01/2025,Naas General Hospital,5.0,0.0,5.0,8.0,11,,,HSE Dublin and Midlands
31483,23/01/2025,St. James's Hospital,14.0,0.0,14.0,20.0,21,1.0,,HSE Dublin and Midlands
31484,23/01/2025,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin and Midlands
31485,23/01/2025,Tallaght University Hospital,23.0,11.0,34.0,32.0,9,12.0,,HSE Dublin and Midlands
31487,23/01/2025,National Rehabilitation Hospital,,,,,9,,,HSE Dublin and South East
31488,23/01/2025,St. Columcille's Hospital,,,,,2,,,HSE Dublin and South East
31489,23/01/2025,St Luke's General Hospital Kilkenny,10.0,2.0,12.0,42.0,5,,,HSE Dublin and South East
31490,23/01/2025,St. Michael's Hospital,,,,,4,,,HSE Dublin and South East
31491,23/01/2025,St. Vincent's University Hospital,30.0,20.0,50.0,39.0,14,6.0,,HSE Dublin and South East
31492,23/01/2025,Tipperary University Hospital,7.0,7.0,14.0,18.0,12,4.0,,HSE Dublin and South East
31493,23/01/2025,UH Waterford,0.0,0.0,0.0,7.0,19,,,HSE Dublin and South East
31494,23/01/2025,Wexford General Hospital,1.0,0.0,1.0,15.0,8,,,HSE Dublin and South East
31496,23/01/2025,Bantry General Hospital,,,,,4,,,HSE South West
31497,23/01/2025,Cork University Hospital,37.0,13.0,50.0,32.0,46,8.0,,HSE South West
31498,23/01/2025,Mallow General Hospital,,,,,1,,,HSE South West
31499,23/01/2025,Mercy University Hospital,19.0,6.0,25.0,16.0,20,5.0,,HSE South West
31500,23/01/2025,South Infirmary Victoria University Hospital,,,,,2,,,HSE South West
31501,23/01/2025,UH Kerry,19.0,5.0,24.0,12.0,19,6.0,,HSE South West
31503,23/01/2025,Ennis Hospital,,,,,2,,,HSE Mid West
31504,23/01/2025,Nenagh Hospital,,,,,3,,,HSE Mid West
31505,23/01/2025,St. John's Hospital Limerick,,,,,9,,,HSE Mid West
31506,23/01/2025,UH Limerick,6.0,36.0,42.0,50.0,5,12.0,,HSE Mid West
31508,23/01/2025,Galway University Hospital,21.0,15.0,36.0,34.0,43,11.0,,HSE West and North West
31509,23/01/2025,Letterkenny University Hospital,10.0,6.0,16.0,14.0,22,3.0,,HSE West and North West
31510,23/01/2025,Mayo University Hospital,4.0,15.0,19.0,18.0,15,13.0,,HSE West and North West
31511,23/01/2025,Portiuncula University Hospital,4.0,0.0,4.0,6.0,4,,,HSE West and North West
31512,23/01/2025,Roscommon University Hospital,,,,,6,,,HSE West and North West
31513,23/01/2025,Sligo University Hospital,6.0,6.0,12.0,12.0,32,4.0,,HSE West and North West
31516,24/01/2025,Beaumont Hospital,0.0,0.0,0.0,14.0,15,,,HSE Dublin and North East
31517,24/01/2025,Cavan General Hospital,12.0,0.0,12.0,7.0,2,,,HSE Dublin and North East
31518,24/01/2025,Connolly Hospital,0.0,0.0,0.0,12.0,5,,,HSE Dublin and North East
31519,24/01/2025,Louth County Hospital,,,,,0,,,HSE Dublin and North East
31520,24/01/2025,Mater Misericordiae University Hospital,14.0,0.0,14.0,32.0,17,,,HSE Dublin and North East
31521,24/01/2025,National Orthopaedic Hospital Cappagh,,,,,0,,,HSE Dublin and North East
31522,24/01/2025,Our Lady of Lourdes Hospital,16.0,3.0,19.0,34.0,8,,,HSE Dublin and North East
31523,24/01/2025,Our Lady's Hospital Navan,0.0,0.0,0.0,4.0,0,,,HSE Dublin and North East
31525,24/01/2025,CHI at Crumlin,1.0,0.0,1.0,0.0,3,,,HSE Dublin and Midlands
31526,24/01/2025,CHI at Tallaght,0.0,0.0,0.0,0.0,0,,,HSE Dublin and Midlands
31527,24/01/2025,CHI at Temple Street,3.0,0.0,3.0,0.0,1,,,HSE Dublin and Midlands
31528,24/01/2025,MRH Mullingar,2.0,0.0,2.0,20.0,2,,,HSE Dublin and Midlands
31529,24/01/2025,MRH Portlaoise,1.0,0.0,1.0,16.0,8,,,HSE Dublin and Midlands
31530,24/01/2025,MRH Tullamore,0.0,0.0,0.0,0.0,7,,,HSE Dublin and Midlands
31531,24/01/2025,Naas General Hospital,11.0,0.0,11.0,0.0,11,,,HSE Dublin and Midlands
31532,24/01/2025,St. James's Hospital,0.0,0.0,0.0,7.0,21,,,HSE Dublin and Midlands
